,Age,Loan Value,Property Value,AER,Spread
68,63,157259.80902830136,410000,0.064,0.02400000000000001
69,66,214966.05321803346,686000,0.077,0.036999999999999825
70,78,83884.72190542893,208000,0.051,0.010999999999999783
71,62,87957.94186203972,285000,0.055,0.014999999999999918
72,67,118859.82239324873,324000,0.058,0.018000000000000006
73,67,283803.1059576708,614000,0.079,0.03900000000000001
74,62,315735.76768310525,724000,0.072,0.032
75,63,183495.44628376106,450000,0.072,0.031999999999999994
76,77,132474.8561633367,370000,0.058,0.017999999999999926
77,79,242503.60482558774,795000,0.065,0.025
78,76,79078.14313621495,265000,0.077,0.036999999999999915
79,73,111542.36905665837,389000,0.062,0.02199999999999998
80,63,69219.39545010486,505000,0.057,0.016999999999999935
81,72,57161.217054872475,215000,0.059,0.018999999999999913
82,65,177378.9456130361,514000,0.069,0.028999999999999904
83,71,61551.50206771219,532000,0.054,0.014000000000000045
84,74,107978.66743418398,394000,0.062,0.022000000000000082
85,73,128538.64733373559,426000,0.052,0.01199999999999996
86,62,146684.37504023692,537000,0.065,0.024999999999999977
87,75,142244.93443515757,490000,0.051,0.010999999999999933
88,79,265884.0349831972,745000,0.063,0.022999999999999812
89,68,129711.11261045492,374000,0.07,0.030000000000000054
90,78,57983.16884482293,226000,0.052,0.011999999999999952
91,75,172236.46244915065,445000,0.066,0.026000000000000092
92,70,77857.7976158726,215000,0.056,0.015999999999999917
93,69,205415.13147020174,596000,0.066,0.026000000000000013
94,72,129295.13406889589,486000,0.079,0.03899999999999992
95,68,207360.19005448365,783000,0.058,0.017999999999999985
96,62,157790.86015946066,487000,0.05,0.010000000000000002
97,64,233139.32072512814,778000,0.053,0.012999999999999953
98,64,107903.50090660386,393000,0.064,0.0240000000000001
99,73,281016.6111876932,691000,0.053,0.012999999999999932
100,77,113033.24890812625,416000,0.077,0.036999999999999915
101,65,215953.13848762622,577000,0.071,0.03099999999999985
102,69,302322.79191717727,780000,0.069,0.028999999999999852
103,74,245784.86472113425,737000,0.064,0.02400000000000005
104,70,276756.55061650375,782000,0.066,0.026000000000000113
105,66,178341.37147203766,561000,0.051,0.01099999999999981
106,66,124929.38222585432,482000,0.055,0.015000000000000006
107,79,216987.9819651556,781000,0.074,0.03400000000000006
108,71,202720.14928189327,542000,0.071,0.030999999999999982
109,78,225568.77305480512,707000,0.067,0.026999999999999875
110,61,358444.2245422393,759000,0.074,0.03400000000000003
111,63,59909.79428035209,281000,0.078,0.037999999999999916
112,73,116368.1879747831,381000,0.069,0.028999999999999818
113,64,248430.17922898725,708000,0.065,0.02499999999999983
114,77,193738.49994150066,489000,0.064,0.024000000000000042
115,70,133636.3661913863,431000,0.052,0.011999999999999981
116,77,68130.19201335462,263000,0.079,0.03900000000000001
117,63,147325.66480976532,460000,0.069,0.02899999999999981
118,63,88260.87483766687,328000,0.071,0.03099999999999986
119,76,352662.38209846045,799000,0.078,0.038000000000000034
120,65,82844.15653114702,274000,0.072,0.03199999999999994
121,74,178087.73578074286,772000,0.058,0.01800000000000005
122,78,92858.52768342322,407000,0.051,0.010999999999999942
123,71,206754.11789920018,650000,0.069,0.028999999999999894
124,75,146427.56255073787,514000,0.056,0.016000000000000028
125,75,200508.63642483222,545000,0.063,0.02300000000000004
126,70,261662.8177172848,656000,0.072,0.032
127,78,190954.22077220725,487000,0.076,0.03599999999999997
128,66,123222.57159336533,452000,0.076,0.03600000000000001
129,76,56887.874008332146,217000,0.079,0.03900000000000002
130,76,225316.77037426917,732000,0.065,0.02499999999999998
131,63,139293.45302332393,420000,0.059,0.018999999999999937
132,70,92656.81632219162,452000,0.064,0.023999999999999962
133,69,131521.59145863986,420000,0.068,0.02800000000000006
134,73,294173.25292839855,793000,0.062,0.021999999999999954
135,68,198596.31744588504,550000,0.056,0.016
136,64,81805.9182667287,722000,0.072,0.032000000000000056
137,70,228288.2301763999,533000,0.07,0.029999999999999995
138,60,91673.28617328654,248000,0.077,0.03700000000000003
139,73,294684.5445139506,553000,0.06,0.019999999999999924
140,71,233174.41681928988,610000,0.065,0.024999999999999915
141,78,80101.29586647564,244000,0.06,0.019999999999999917
142,79,219415.5235189546,699000,0.056,0.01600000000000011
143,65,111699.28035531231,347000,0.058,0.01799999999999997
144,69,114671.37741469224,375000,0.062,0.02199999999999995
145,71,198912.92552276948,624000,0.052,0.012000000000000068
146,61,240027.21440096997,676000,0.074,0.03399999999999999
147,68,190889.86911651355,497000,0.068,0.027999999999999994
148,62,126957.99309947038,372000,0.066,0.02600000000000009
149,77,88152.15207063801,342000,0.069,0.028999999999999852
150,73,93539.84934475915,300000,0.069,0.028999999999999852
151,65,251259.8367932461,743000,0.058,0.018000000000000013
152,60,301360.93604046624,565000,0.075,0.03499999999999996
153,71,133060.3491775216,551000,0.067,0.02699999999999995
154,70,90718.67468623567,360000,0.063,0.022999999999999816
155,67,91427.98885630397,218000,0.072,0.03199999999999996
156,75,204123.91441897745,671000,0.075,0.03499999999999992
157,66,199318.6411335122,575000,0.063,0.02299999999999983
158,74,211214.93912562897,453000,0.071,0.03099999999999985
159,65,103103.23368034848,296000,0.062,0.02200000000000004
160,70,66294.883936031,226000,0.074,0.033999999999999975
161,64,205778.20066659403,539000,0.07,0.029999999999999992
162,75,104281.23958798207,475000,0.05,0.009999999999999969
163,67,52366.24277078967,269000,0.076,0.03600000000000002
164,76,122975.85598398975,310000,0.066,0.025999999999999947
165,69,181308.93121030836,596000,0.055,0.014999999999999965
166,64,82823.39043483963,233000,0.075,0.03499999999999984
167,67,294576.00394180184,796000,0.051,0.010999999999999826
168,70,247472.16336735088,537000,0.06,0.019999999999999962
169,64,279878.7210844739,685000,0.079,0.038999999999999965
170,60,207412.5946120343,789000,0.066,0.025999999999999943
171,79,320196.4993789701,730000,0.05,0.010000000000000073
172,68,250284.7016301182,710000,0.075,0.03499999999999989
173,62,53057.754016555715,620000,0.056,0.016000000000000007
174,77,232869.96425043364,722000,0.076,0.035999999999999976
175,69,171629.12346926643,553000,0.074,0.03399999999999991
176,67,176874.21683589107,683000,0.053,0.012999999999999777
177,71,113930.31364624237,422000,0.073,0.03299999999999996
178,68,282458.2498544268,780000,0.064,0.024000000000000087
179,70,109330.89482960229,613000,0.077,0.03699999999999983
180,66,98022.10980119299,338000,0.054,0.014000000000000094
181,73,195259.414869002,390000,0.066,0.026000000000000044
182,67,91154.65368065449,331000,0.055,0.014999999999999937
183,61,119075.62227635508,487000,0.074,0.03399999999999997
184,71,177409.14466749266,431000,0.054,0.014
185,65,85972.52778938189,354000,0.063,0.022999999999999802
186,69,176174.94272345564,507000,0.051,0.010999999999999923
187,62,273182.5051613276,473000,0.056,0.016000000000000014
188,63,197652.7281957005,712000,0.05,0.009999999999999988
189,62,48818.225241092405,203000,0.068,0.027999999999999945
190,61,154704.40350911205,340000,0.066,0.026000000000000013
191,76,223702.09056687445,735000,0.078,0.03800000000000003
192,78,238575.5352133198,734000,0.057,0.016999999999999946
193,74,115983.21083033756,361000,0.074,0.033999999999999926
194,66,144794.191590453,497000,0.069,0.02899999999999997
195,66,122773.93991568156,267000,0.073,0.032999999999999904
196,68,94825.11785727802,252000,0.061,0.02099999999999986
197,78,226686.16669166254,754000,0.068,0.02800000000000001
198,75,96343.8394111818,411000,0.072,0.03200000000000004
199,60,128362.62267635699,309000,0.065,0.02499999999999992
